"A risk evaluation can not be done without the date of birth.","Eine Risiko-Bewertung kann nicht ohne das Geburtsdatum gemacht werden."
"After payment method selection","Nach Auswahl der Zahlungsmethode"
"API Key","API-Key"
"API URL","API-URL"
"Before payment method selection","Vor Auswahl der Zahlungsmethode"
"Don't change unless asked to do so.","Nur ändern, wenn Sie dazu aufgefordert werden."
"Is Date of Birth required","Ist das Geburtsdatum erforderlich"
"Score rating enabled","Bonitätsprüfung aktiviert"
"Time of checking","Zeitpunkt der Prüfung"
"Tooltip Date of Birth","Tooltip Geburtsdatum"
"You can find the API Key in the RMP settings (Webshop -> General Settings -> API Key).","Sie finden den API-Key in den Einstellungen der RMP (Webshop -> Allgemeine Einstellungen -> API Key)."
